,lr,beta1,beta2,dataname,lr_gamma,momentum,nesterov,eval_arch,eval_loss,eval_type,optimname,batch_size,eval_nl_bn,model_path,feature_path,weight_decay,eval_nl_depth,eval_nl_width,from_features,lr_sched_type,complexity_cmi,lr_drop_factor,log_predictions,l1_regularization,numout,augment,conv_channels,classifiername,num_aug_samples,pretrain_method,Rationality,Pos Rationality,Robustness,Total - Noise,Generalization Gap,Train Acc,Test Acc,supervised
0,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/pretrain-rep/CIFAR-10/simclr-archs-pretraining/resnet50_234rl8rq,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,CIFAR-10/simclr-archs-pretraining/resnet50_234rl8rq,0.9736955803806069,0.9736955803806069,0.2158333333333502,0.7844710862860467,1.9740000000000038,93.97733333333333,92.00333333333333,SSS
2,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/amdim/amdim_encoder/plb-cifar-archs_3cvk9daf/amdim_ind_-3,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,amdim/amdim_encoder/3cvk9daf/amdim_ind_-3,-1.0533419568631501,0.0,2.073855421686744,5.661486535176408,6.682000000000002,94.062,87.38,SSS
5,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/amdim/resnet101/plb-cifar-archs_18bdd6vd/amdim_ind_-3,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,amdim/resnet101/18bdd6vd/amdim_ind_-3,-3.02724112858278,0.0,1.2208333333333314,14.264407795249433,12.457999999999984,74.88799999999999,62.43000000000001,SSS
8,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/amdim/resnet18/plb-cifar-archs_2kjo24jp/amdim_ind_-3,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,amdim/resnet18/2kjo24jp/amdim_ind_-3,-0.6657104492408905,0.0,0.4226666666666574,4.581043782574227,4.337999999999994,66.618,62.28,SSS
11,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/amdim/resnet50_bn/plb-cifar-archs_17i979cm/amdim_ind_-3,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,amdim/resnet50_bn/17i979cm/amdim_ind_-3,-3.7034905469370614,0.0,1.809749999999994,16.625073880270378,14.73133333333331,81.01466666666666,66.28333333333335,SSS
14,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/amdim/wide_resnet50_2/plb-cifar-archs_yno8dew8/amdim_ind_-3,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,amdim/wide_resnet50_2/yno8dew8/amdim_ind_-3,-3.955298265747089,0.0,1.6987500000000182,15.327214932413746,13.070666666666675,76.87400000000001,63.803333333333335,SSS
17,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/mocov2/resnet101/plb-cifar-archs_13im15ft/,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,mocov2/resnet101/13im15ft/,-0.5403562626314908,0.0,0.3295000000000101,3.032189595964809,2.821333333333328,71.90133333333333,69.08,SSS
20,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/mocov2/resnet18/plb-cifar-archs_zz67pzq6/,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,mocov2/resnet18/zz67pzq6/,0.03177450360634282,0.03177450360634282,0.1502500000000282,1.2433088297269705,1.4253333333333416,69.022,67.59666666666666,SSS
23,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/mocov2/resnet50/plb-cifar-archs_2nvuati6/,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,mocov2/resnet50/2nvuati6/,-0.5415202699619357,0.0,0.29608333333332837,2.9641036032952854,2.718666666666678,72.80533333333334,70.08666666666666,SSS
26,0.0002,0.8,0.999,CIFAR10,-1,-1.0,False,-1.0,ce,linear,adam,512,False,-1.0,/n/coxfs01/ybansal/rep-gen/results/plb_cifar10/mocov2/wide_resnet50_2/plb-cifar-archs_ct2vzdv9/,1e-06,-1.0,-1.0,True,const,False,-1.0,True,0,-1.0,-1,-1.0,-1,-1.0,mocov2/wide_resnet50_2/ct2vzdv9/,-0.09179751927632651,0.0,0.3847586206896665,2.8137055652533434,3.1066666666666833,73.95,70.84333333333332,SSS
