,Test Acc,Dirty Test,Train Acc,train_noise_prob,model_name
107,86.68,86.68,100.0,0.0,E2E (ResNet 18)
75,91.56,91.56,100.0,0.0,E2E (Wide ResNet)
94,85.7,85.7,100.0,0.0,E2E (mCNN)
57,86.48,86.48,95.332,0.0,SSS (AMDIM)
56,70.74000000000001,70.74000000000001,76.494,0.0,SSS (Moco/ResNet50)
58,92.15,92.15,96.418,0.0,SSS (SIMCLR/ResNet50)
113,82.87,78.82166666666667,100.0,0.05,E2E (ResNet 18)
74,86.00999999999999,81.78722222222221,100.0,0.05,E2E (Wide ResNet)
93,82.04,78.03777777777778,100.0,0.05,E2E (mCNN)
52,85.83,81.61722222222222,87.976,0.05,SSS (AMDIM)
51,70.45,67.09166666666667,72.424,0.05,SSS (Moco/ResNet50)
55,91.85,87.30277777777778,90.636,0.05,SSS (SIMCLR/ResNet50)
110,79.58,71.8488888888889,100.0,0.1,E2E (ResNet 18)
73,81.58,73.62666666666667,100.0,0.1,E2E (Wide ResNet)
92,79.49000000000001,71.7688888888889,100.0,0.1,E2E (mCNN)
53,86.04,77.59111111111112,82.472,0.1,SSS (AMDIM)
47,69.69,63.05777777777777,68.33,0.1,SSS (Moco/ResNet50)
54,91.75,82.66666666666667,85.44800000000001,0.1,SSS (SIMCLR/ResNet50)
112,76.44,65.36666666666667,100.0,0.15,E2E (ResNet 18)
72,77.01,65.84166666666668,99.998,0.15,E2E (Wide ResNet)
91,76.27000000000001,65.22500000000001,100.0,0.15,E2E (mCNN)
49,85.41,72.84166666666667,77.62599999999999,0.15,SSS (AMDIM)
48,69.65,59.708333333333336,64.386,0.15,SSS (Moco/ResNet50)
50,91.58,77.98333333333333,80.708,0.15,SSS (SIMCLR/ResNet50)
111,72.89,58.91444444444444,100.0,0.2,E2E (ResNet 18)
71,73.42,59.32666666666667,100.0,0.2,E2E (Wide ResNet)
90,72.39,58.525555555555556,100.0,0.2,E2E (mCNN)
45,85.26,68.53555555555556,72.752,0.2,SSS (AMDIM)
43,69.13,55.989999999999995,60.773999999999994,0.2,SSS (Moco/ResNet50)
46,91.45,73.35000000000001,76.166,0.2,SSS (SIMCLR/ResNet50)
109,68.78,52.452222222222225,100.0,0.25,E2E (ResNet 18)
70,68.77,52.445,100.0,0.25,E2E (Wide ResNet)
89,66.13,50.53833333333333,100.0,0.25,E2E (mCNN)
42,84.76,63.99333333333334,67.97999999999999,0.25,SSS (AMDIM)
41,68.34,52.13444444444445,56.66,0.25,SSS (Moco/ResNet50)
44,91.23,68.6661111111111,70.824,0.25,SSS (SIMCLR/ResNet50)
108,64.9,46.60000000000001,100.0,0.3,E2E (ResNet 18)
69,63.080000000000005,45.38666666666668,100.0,0.3,E2E (Wide ResNet)
88,65.01,46.673333333333346,100.0,0.3,E2E (mCNN)
39,83.95,59.30000000000001,63.517999999999994,0.3,SSS (AMDIM)
38,68.34,48.893333333333345,53.352,0.3,SSS (Moco/ResNet50)
40,91.35,64.23333333333333,66.47,0.3,SSS (SIMCLR/ResNet50)
106,60.099999999999994,40.61666666666666,100.0,0.35,E2E (ResNet 18)
68,58.55,39.669444444444444,100.0,0.35,E2E (Wide ResNet)
87,58.17,39.437222222222225,100.0,0.35,E2E (mCNN)
36,84.43,55.48500000000001,58.692,0.35,SSS (AMDIM)
35,67.60000000000001,45.2,49.908,0.35,SSS (Moco/ResNet50)
37,90.51,59.20055555555556,61.78399999999999,0.35,SSS (SIMCLR/ResNet50)
105,55.120000000000005,35.06666666666667,100.0,0.4,E2E (ResNet 18)
67,53.25,34.02777777777778,100.0,0.4,E2E (Wide ResNet)
86,51.77,33.205555555555556,100.0,0.4,E2E (mCNN)
33,83.17,50.65,53.879999999999995,0.4,SSS (AMDIM)
32,67.10000000000001,41.72222222222223,46.483999999999995,0.4,SSS (Moco/ResNet50)
34,90.32,54.62222222222222,56.936,0.4,SSS (SIMCLR/ResNet50)
104,48.67,29.335,100.0,0.45,E2E (ResNet 18)
66,47.510000000000005,28.755000000000003,99.994,0.45,E2E (Wide ResNet)
85,49.38,29.69,100.0,0.45,E2E (mCNN)
30,81.89999999999999,45.949999999999996,49.036,0.45,SSS (AMDIM)
29,65.79,37.895,42.768,0.45,SSS (Moco/ResNet50)
31,89.67,49.835,52.064,0.45,SSS (SIMCLR/ResNet50)
103,44.09,25.151111111111113,100.0,0.5,E2E (ResNet 18)
65,42.28,24.346666666666664,100.0,0.5,E2E (Wide ResNet)
84,39.47,23.09777777777778,100.0,0.5,E2E (mCNN)
27,80.56,41.36,45.032,0.5,SSS (AMDIM)
26,64.41,34.18222222222222,39.248,0.5,SSS (Moco/ResNet50)
28,89.34,45.26222222222222,47.416,0.5,SSS (SIMCLR/ResNet50)
102,39.57,21.499444444444443,100.0,0.55,E2E (ResNet 18)
64,36.919999999999995,20.468888888888884,100.0,0.55,E2E (Wide ResNet)
83,40.849999999999994,21.99722222222222,100.0,0.55,E2E (mCNN)
23,80.22,37.30777777777777,40.352,0.55,SSS (AMDIM)
24,62.46000000000001,30.40111111111111,36.742,0.55,SSS (Moco/ResNet50)
25,87.87,40.28277777777778,42.864,0.55,SSS (SIMCLR/ResNet50)
101,32.99,17.663333333333334,100.0,0.6,E2E (ResNet 18)
63,31.6,17.200000000000003,100.0,0.6,E2E (Wide ResNet)
82,34.63,18.21,100.0,0.6,E2E (mCNN)
21,77.47,32.49,35.49,0.6,SSS (AMDIM)
20,60.870000000000005,26.95666666666667,33.106,0.6,SSS (Moco/ResNet50)
22,87.31,35.77,38.5,0.6,SSS (SIMCLR/ResNet50)
99,26.340000000000003,14.538888888888891,100.0,0.65,E2E (ResNet 18)
62,23.51,13.752777777777778,95.378,0.65,E2E (Wide ResNet)
81,31.05,15.847222222222221,100.0,0.65,E2E (mCNN)
18,74.26,27.85,31.866,0.65,SSS (AMDIM)
17,56.98,23.05,29.566,0.65,SSS (Moco/ResNet50)
19,83.76,30.48888888888889,33.93,0.65,SSS (SIMCLR/ResNet50)
100,22.7,12.822222222222225,100.0,0.7,E2E (ResNet 18)
61,19.16,12.035555555555558,96.358,0.7,E2E (Wide ResNet)
80,25.51,13.446666666666669,100.0,0.7,E2E (mCNN)
15,68.41000000000001,22.980000000000008,28.174,0.7,SSS (AMDIM)
14,51.09,19.131111111111117,27.298,0.7,SSS (Moco/ResNet50)
16,79.56,25.457777777777785,29.752,0.7,SSS (SIMCLR/ResNet50)
98,18.49,11.415000000000003,100.0,0.75,E2E (ResNet 18)
59,17.45,11.241666666666669,95.426,0.75,E2E (Wide ResNet)
79,21.21,11.868333333333336,100.0,0.75,E2E (mCNN)
12,61.1,18.516666666666673,24.834,0.75,SSS (AMDIM)
10,45.7,15.950000000000005,24.956,0.75,SSS (Moco/ResNet50)
13,71.95,20.325000000000006,26.53,0.75,SSS (SIMCLR/ResNet50)
97,14.96,10.55111111111111,100.0,0.8,E2E (ResNet 18)
60,13.05,10.338888888888889,95.188,0.8,E2E (Wide ResNet)
78,16.21,10.69,100.0,0.8,E2E (mCNN)
6,47.67,14.185555555555553,21.564,0.8,SSS (AMDIM)
7,34.910000000000004,12.767777777777777,22.756,0.8,SSS (Moco/ResNet50)
8,57.23,15.247777777777774,23.788,0.8,SSS (SIMCLR/ResNet50)
96,11.54,10.085555555555556,100.0,0.85,E2E (ResNet 18)
0,11.35,10.075000000000001,95.872,0.85,E2E (Wide ResNet)
77,13.15,10.175,100.0,0.85,E2E (mCNN)
11,28.27,11.015,19.986,0.85,SSS (AMDIM)
5,22.11,10.672777777777778,22.142,0.85,SSS (Moco/ResNet50)
9,33.71,11.317222222222224,22.228,0.85,SSS (SIMCLR/ResNet50)
95,9.68,10.0,100.0,0.9,E2E (ResNet 18)
1,9.86,10.0,96.346,0.9,E2E (Wide ResNet)
76,10.77,10.0,100.0,0.9,E2E (mCNN)
3,10.69,10.0,19.066,0.9,SSS (AMDIM)
2,10.31,10.0,21.61,0.9,SSS (Moco/ResNet50)
4,10.54,10.0,21.664,0.9,SSS (SIMCLR/ResNet50)
