,Method,Backbone,Data Augmentation,Generalization Gap,Robustness,Memorization,Rationality,Theorem II bound,RRM bound,Test Performance
12,simclrv2,r50_1x_sk0,True,-2.336561213955733,0.26107476259564066,0.675008327511037,0.0,NA,0.9360830901066777,70.96240000000002
10,simclrv2,r101_2x_sk0,True,0.6330546437740026,0.10350527852328639,0.8048712069543029,0.0,NA,0.9083764854775893,77.2436
11,simclrv2,r152_2x_sk0,True,1.0044864696015452,0.13041117244360123,0.7726748771376322,0.1014004200203118,NA,1.0044864696015452,77.64959999999999
21,moco,ResNet-50,True,1.3162708287053846,0.5659683710242405,0.9272146643272237,0.0,NA,1.4931830353514641,70.15360000000001
18,InfoMin,ResNet-50,True,4.882868331138724,0.8071261071611673,1.0125111604621964,3.06323106351536,NA,4.882868331138724,72.2864
20,PiRL,ResNet-50,True,6.225963474550937,0.29185890676235715,0.9872364711678188,4.946868096620761,NA,6.225963474550937,60.5596
19,InsDis,ResNet-50,True,6.845195799142495,0.25415630176756565,1.1281149560738228,5.462924541301106,NA,6.845195799142495,58.3008
4,simclrv2,r101_1x_sk1,False,8.234166783357153,0.7094573411064573,4.663610262131726,2.86109918011897,NA,8.234166783357153,76.06733333333334
14,InfoMin,ResNet-50,False,10.207255144203174,2.343046092611928,8.963330735713285,0.0,NA,11.306376828325213,70.31266666666666
6,simclrv2,r152_1x_sk0,False,10.316767489328086,1.1205408818678677,6.932092634729287,2.2641339727309315,NA,10.316767489328086,74.17133333333334
3,simclrv2,r101_1x_sk0,False,10.528165065132029,1.1135420544966763,6.992656441651903,2.42196656898345,NA,10.528165065132029,73.044
8,simclrv2,r50_1x_sk0,False,10.621826985344882,0.9937033969810329,7.314382420498077,2.3137411678657713,NA,10.621826985344882,70.69333333333333
17,moco,ResNet-50,False,10.718562132805474,1.8225050546363946,7.860507409883155,1.035549668285924,NA,10.718562132805474,68.39066666666668
7,simclrv2,r152_2x_sk0,False,10.92410203249591,0.7536878486567389,7.445563011163301,2.7248511726758693,NA,10.92410203249591,77.24733333333332
5,simclrv2,r101_2x_sk0,False,11.02448087824095,0.7368802557876393,7.512353219143307,2.7752474033100043,NA,11.02448087824095,76.72000000000001
2,simclr,ResNet50_1x,False,11.071523750871933,1.2184724291732891,7.7276981957583075,2.125353125940336,NA,11.071523750871933,68.72533333333332
9,simclrv2,ResNet-50,False,11.164953344880118,0.63918286999278,7.674531100304478,2.8512393745828604,NA,11.164953344880118,74.98733333333332
16,PiRL,ResNet-50,False,11.433350018121502,1.4937683117553462,8.260057689106823,1.6795240172593324,NA,11.433350018121502,59.105333333333334
15,InsDis,ResNet-50,False,12.022082642882118,1.3951602978638675,8.524624554177926,2.102297790840325,NA,12.022082642882118,56.673333333333325
0,amdim,ResNet-50,False,13.62473609529438,0.902634082832293,9.715599860724112,3.006502151737976,NA,13.62473609529438,67.693
13,CMC,ResNet-50,False,14.730569100931675,2.298659477387929,12.304346822607066,0.12756280093667982,NA,14.730569100931675,54.596666666666664
1,bigbigan,ResNet-50,False,29.595812366901946,3.1324825985475258,25.189972728446627,1.2733570399077934,NA,29.595812366901946,50.23866666666667
